WALWORTH | WISCONSIN
SHERIDAN | NORTH DAKOTA
FLORENCE | WISCONSIN
CRAWFORD | INDIANA
CRAWFORD | MISSOURI
CRAWFORD | OHIO
CRAWFORD | PENNSYLVANIA
CRAWFORD | WISCONSIN
CUYAHOGA | OHIO
LYON | NEVADA
ELKHART | INDIANA
SAN JOAQUIN | CALIFORNIA
DAGGETT | UTAH
BEDFORD | PENNSYLVANIA
ROCKLAND | NEW YORK
ULSTER | NEW YORK
SAWYER | WISCONSIN
KOSCIUSKO | INDIANA
PINAL | ARIZONA
BROOME | NEW YORK
OZAUKEE | WISCONSIN
GENESEE | NEW YORK
RUTLAND | VERMONT
NASSAU | FLORIDA
NASSAU | NEW YORK
SHASTA | CALIFORNIA
SAN BENITO | CALIFORNIA
QUEEN ANNES | MARYLAND
EUREKA | NEVADA
CALEDONIA | VERMONT
MEDINA | OHIO
OWEN | INDIANA
GREEN LAKE | WISCONSIN
COLE | MISSOURI
SANTA CRUZ | ARIZONA
SANTA CRUZ | CALIFORNIA
CLALLAM | WASHINGTON
WALSH | NORTH DAKOTA
DISTRICT OF COLUMBIA | z_NA
WHITE PINE | NEVADA
RIPLEY | INDIANA
RIPLEY | MISSOURI
OSAGE | MISSOURI
LITCHFIELD | CONNECTICUT
MIAMI-DADE | FLORIDA
LORAIN | OHIO
ADAIR | MISSOURI
HOWARD | INDIANA
HOWARD | MARYLAND
HOWARD | MISSOURI
SEMINOLE | FLORIDA
DICKEY | NORTH DAKOTA
SIERRA | CALIFORNIA
AMADOR | CALIFORNIA
JENNINGS | INDIANA
KERN | CALIFORNIA
KITTITAS | WASHINGTON
LAMOURE | NORTH DAKOTA
NEW HAVEN | CONNECTICUT
HERKIMER | NEW YORK
HANCOCK | INDIANA
HANCOCK | OHIO
POTTER | PENNSYLVANIA
WABASH | INDIANA
WICOMICO | MARYLAND
BREVARD | FLORIDA
BOX ELDER | UTAH
ST. JOSEPH | INDIANA
GREEN | WISCONSIN
COCHISE | ARIZONA
COCONINO | ARIZONA
KING | WASHINGTON
PERSHING | NEVADA
WRIGHT | MISSOURI
SULLIVAN | INDIANA
SULLIVAN | MISSOURI
SULLIVAN | NEW YORK
SULLIVAN | PENNSYLVANIA
MOUNTRAIL | NORTH DAKOTA
CLINTON | INDIANA
CLINTON | MISSOURI
CLINTON | NEW YORK
CLINTON | OHIO
CLINTON | PENNSYLVANIA
DELAWARE | INDIANA
DELAWARE | NEW YORK
DELAWARE | OHIO
DELAWARE | PENNSYLVANIA
BOLLINGER | MISSOURI
PORTAGE | OHIO
PORTAGE | WISCONSIN
PULASKI | INDIANA
PULASKI | MISSOURI
BENTON | INDIANA
BENTON | MISSOURI
BENTON | WASHINGTON
KENT | MARYLAND
IRON | MISSOURI
IRON | UTAH
IRON | WISCONSIN
MONTGOMERY | INDIANA
MONTGOMERY | MARYLAND
MONTGOMERY | MISSOURI
MONTGOMERY | NEW YORK
MONTGOMERY | OHIO
MONTGOMERY | PENNSYLVANIA
SAN BERNARDINO | CALIFORNIA
BROWN | INDIANA
BROWN | OHIO
BROWN | WISCONSIN
HOWELL | MISSOURI
CHARITON | MISSOURI
VINTON | OHIO
SARASOTA | FLORIDA
CONTRA COSTA | CALIFORNIA
CECIL | MARYLAND
PLATTE | MISSOURI
CUMBERLAND | PENNSYLVANIA
COWLITZ | WASHINGTON
HETTINGER | NORTH DAKOTA
COLUSA | CALIFORNIA
BRONX | NEW YORK
DUNKLIN | MISSOURI
FULTON | INDIANA
FULTON | NEW YORK
FULTON | OHIO
FULTON | PENNSYLVANIA
UINTAH | UTAH
VERMILLION | INDIANA
MODOC | CALIFORNIA
MIFFLIN | PENNSYLVANIA
SHELBY | INDIANA
SHELBY | MISSOURI
SHELBY | OHIO
OSCEOLA | FLORIDA
WARREN | INDIANA
WARREN | MISSOURI
WARREN | NEW YORK
WARREN | OHIO
WARREN | PENNSYLVANIA
ERIE | NEW YORK
ERIE | OHIO
ERIE | PENNSYLVANIA
MAUI | HAWAII
SOLANO | CALIFORNIA
CALUMET | WISCONSIN
GRAND FORKS | NORTH DAKOTA
SANPETE | UTAH
GRIGGS | NORTH DAKOTA
ONTARIO | NEW YORK
MORROW | OHIO
CITRUS | FLORIDA
PRICE | WISCONSIN
DAVIS | UTAH
WARD | NORTH DAKOTA
SAN DIEGO | CALIFORNIA
TOLLAND | CONNECTICUT
CALHOUN | FLORIDA
GREENLEE | ARIZONA
WAUPACA | WISCONSIN
CAMDEN | MISSOURI
RENSSELAER | NEW YORK
FREDERICK | MARYLAND
VILAS | WISCONSIN
KANE | UTAH
WHATCOM | WASHINGTON
WYANDOT | OHIO
LAFAYETTE | FLORIDA
LAFAYETTE | MISSOURI
LAFAYETTE | WISCONSIN
OLIVER | NORTH DAKOTA
SEVIER | UTAH
TRINITY | CALIFORNIA
CARSON CITY | NEVADA
GRAND | UTAH
TREMPEALEAU | WISCONSIN
NEW YORK | NEW YORK
SAN FRANCISCO | CALIFORNIA
SUMMIT | OHIO
SUMMIT | UTAH
BARRON | WISCONSIN
LICKING | OHIO
SARATOGA | NEW YORK
PERRY | INDIANA
PERRY | MISSOURI
PERRY | OHIO
PERRY | PENNSYLVANIA
ST. LUCIE | FLORIDA
LAGRANGE | INDIANA
WASHOE | NEVADA
STANISLAUS | CALIFORNIA
NIAGARA | NEW YORK
MCKEAN | PENNSYLVANIA
HENDRY | FLORIDA
MILLER | MISSOURI
MISSISSIPPI | MISSOURI
MIDDLESEX | CONNECTICUT
ALPINE | CALIFORNIA
MONTOUR | PENNSYLVANIA
JUNIATA | PENNSYLVANIA
WELLS | INDIANA
WELLS | NORTH DAKOTA
PIMA | ARIZONA
NEVADA | CALIFORNIA
YORK | PENNSYLVANIA
CATTARAUGUS | NEW YORK
MIAMI | INDIANA
MIAMI | OHIO
OCONTO | WISCONSIN
FOND DU LAC | WISCONSIN
NEW MADRID | MISSOURI
MARION | FLORIDA
MARION | INDIANA
MARION | MISSOURI
MARION | OHIO
MCDONALD | MISSOURI
TOWNER | NORTH DAKOTA
DALLAS | MISSOURI
CARBON | PENNSYLVANIA
CARBON | UTAH
OKANOGAN | WASHINGTON
BOWMAN | NORTH DAKOTA
HOCKING | OHIO
JASPER | INDIANA
JASPER | MISSOURI
SIOUX | NORTH DAKOTA
DARKE | OHIO
CAYUGA | NEW YORK
FERRY | WASHINGTON
GILCHRIST | FLORIDA
KEWAUNEE | WISCONSIN
FOUNTAIN | INDIANA
GRAHAM | ARIZONA
ORLEANS | NEW YORK
ORLEANS | VERMONT
HIGHLANDS | FLORIDA
THURSTON | WASHINGTON
SANTA BARBARA | CALIFORNIA
SCIOTO | OHIO
ST. LAWRENCE | NEW YORK
LACLEDE | MISSOURI
RALLS | MISSOURI
SKAGIT | WASHINGTON
NAPA | CALIFORNIA
ADDISON | VERMONT
CLEARFIELD | PENNSYLVANIA
ST. CLAIR | MISSOURI
CHARLES | MARYLAND
WARRICK | INDIANA
OHIO | INDIANA
LUZERNE | PENNSYLVANIA
WASHBURN | WISCONSIN
EMERY | UTAH
CHITTENDEN | VERMONT
WAKULLA | FLORIDA
WESTCHESTER | NEW YORK
LIBERTY | FLORIDA
KAUAI | HAWAII
DEKALB | INDIANA
DEKALB | MISSOURI
CAMBRIA | PENNSYLVANIA
POLK | FLORIDA
POLK | MISSOURI
POLK | WISCONSIN
MARQUETTE | WISCONSIN
LAPORTE | INDIANA
CHAUTAUQUA | NEW YORK
SHEBOYGAN | WISCONSIN
UNION | FLORIDA
UNION | INDIANA
UNION | OHIO
UNION | PENNSYLVANIA
HIGHLAND | OHIO
HARFORD | MARYLAND
RICH | UTAH
YAKIMA | WASHINGTON
DIXIE | FLORIDA
STODDARD | MISSOURI
PASCO | FLORIDA
SCHUYLKILL | PENNSYLVANIA
ELKO | NEVADA
WASATCH | UTAH
JUAB | UTAH
BAYFIELD | WISCONSIN
PACIFIC | WASHINGTON
HUMBOLDT | CALIFORNIA
HUMBOLDT | NEVADA
ATHENS | OHIO
WHITE | INDIANA
EMMONS | NORTH DAKOTA
FRESNO | CALIFORNIA
PIKE | INDIANA
PIKE | MISSOURI
PIKE | OHIO
PIKE | PENNSYLVANIA
LYCOMING | PENNSYLVANIA
MACON | MISSOURI
GRUNDY | MISSOURI
KITSAP | WASHINGTON
WAHKIAKUM | WASHINGTON
ST. JOHNS | FLORIDA
HONOLULU | HAWAII
ONONDAGA | NEW YORK
LANGLADE | WISCONSIN
CALDWELL | MISSOURI
WAUKESHA | WISCONSIN
NEWTON | INDIANA
NEWTON | MISSOURI
PHILADELPHIA | PENNSYLVANIA
FLAGLER | FLORIDA
ST. CROIX | WISCONSIN
CALVERT | MARYLAND
PIUTE | UTAH
SCHENECTADY | NEW YORK
BOONE | INDIANA
BOONE | MISSOURI
DAVIESS | INDIANA
DAVIESS | MISSOURI
CAVALIER | NORTH DAKOTA
MONROE | FLORIDA
MONROE | INDIANA
MONROE | MISSOURI
MONROE | NEW YORK
MONROE | OHIO
MONROE | PENNSYLVANIA
MONROE | WISCONSIN
OSWEGO | NEW YORK
SWITZERLAND | INDIANA
LINN | MISSOURI
WALTON | FLORIDA
SUMTER | FLORIDA
GULF | FLORIDA
JACKSON | FLORIDA
JACKSON | INDIANA
JACKSON | MISSOURI
JACKSON | OHIO
JACKSON | WISCONSIN
MANATEE | FLORIDA
WINDSOR | VERMONT
LASSEN | CALIFORNIA
SANTA ROSA | FLORIDA
GOLDEN VALLEY | NORTH DAKOTA
PREBLE | OHIO
MARSHALL | INDIANA
LA CROSSE | WISCONSIN
BARTHOLOMEW | INDIANA
GALLIA | OHIO
CAROLINE | MARYLAND
EL DORADO | CALIFORNIA
WESTMORELAND | PENNSYLVANIA
NODAWAY | MISSOURI
ADAMS | INDIANA
ADAMS | NORTH DAKOTA
ADAMS | OHIO
ADAMS | PENNSYLVANIA
ADAMS | WASHINGTON
ADAMS | WISCONSIN
DIVIDE | NORTH DAKOTA
CHELAN | WASHINGTON
TALBOT | MARYLAND
DOOR | WISCONSIN
GRANT | INDIANA
GRANT | NORTH DAKOTA
GRANT | WASHINGTON
GRANT | WISCONSIN
MANITOWOC | WISCONSIN
DADE | MISSOURI
BALTIMORE CITY | MARYLAND
INYO | CALIFORNIA
STARKE | INDIANA
GRAYS HARBOR | WASHINGTON
JUNEAU | WISCONSIN
BELMONT | OHIO
WORTH | MISSOURI
CAPE GIRARDEAU | MISSOURI
STOREY | NEVADA
WEBER | UTAH
DEWITT | TEXAS
RUSK | WISCONSIN
COLLIER | FLORIDA
MILLARD | UTAH
ALLEGHENY | PENNSYLVANIA
MADERA | CALIFORNIA
SANTA CLARA | CALIFORNIA
GENTRY | MISSOURI
CHIPPEWA | WISCONSIN
MILWAUKEE | WISCONSIN
FAIRFIELD | CONNECTICUT
FAIRFIELD | OHIO
BROWARD | FLORIDA
GUERNSEY | OHIO
MENDOCINO | CALIFORNIA
WINNEBAGO | WISCONSIN
TANEY | MISSOURI
ROSS | OHIO
QUEENS | NEW YORK
YAVAPAI | ARIZONA
ALAMEDA | CALIFORNIA
GLADES | FLORIDA
RANSOM | NORTH DAKOTA
SKAMANIA | WASHINGTON
MONTEREY | CALIFORNIA
ST. LOUIS CITY | MISSOURI
HOLT | MISSOURI
SPENCER | INDIANA
CLAY | FLORIDA
CLAY | INDIANA
CLAY | MISSOURI
YUBA | CALIFORNIA
BILLINGS | NORTH DAKOTA
BLAIR | PENNSYLVANIA
PINELLAS | FLORIDA
MCINTOSH | NORTH DAKOTA
MOHAVE | ARIZONA
SAUK | WISCONSIN
RACINE | WISCONSIN
ROLETTE | NORTH DAKOTA
CORTLAND | NEW YORK
SPOKANE | WASHINGTON
PORTER | INDIANA
LINCOLN | MISSOURI
LINCOLN | NEVADA
LINCOLN | WASHINGTON
LINCOLN | WISCONSIN
BAY | FLORIDA
ALLEGANY | MARYLAND
ALLEGANY | NEW YORK
BURKE | NORTH DAKOTA
PEND OREILLE | WASHINGTON
INDIAN RIVER | FLORIDA
YUMA | ARIZONA
HERNANDO | FLORIDA
CEDAR | MISSOURI
TUOLUMNE | CALIFORNIA
MARIN | CALIFORNIA
COLUMBIANA | OHIO
SAN JUAN | UTAH
SAN JUAN | WASHINGTON
BERKS | PENNSYLVANIA
HARTFORD | CONNECTICUT
HURON | OHIO
FLOYD | INDIANA
LAKE | CALIFORNIA
LAKE | FLORIDA
LAKE | INDIANA
LAKE | OHIO
SCOTLAND | MISSOURI
RIVERSIDE | CALIFORNIA
WHITMAN | WASHINGTON
JOHNSON | INDIANA
JOHNSON | MISSOURI
NORTHUMBERLAND | PENNSYLVANIA
DORCHESTER | MARYLAND
SAN LUIS OBISPO | CALIFORNIA
BRADFORD | FLORIDA
BRADFORD | PENNSYLVANIA
MCKENZIE | NORTH DAKOTA
LEON | FLORIDA
CLARION | PENNSYLVANIA
ROCK | WISCONSIN
HENRY | INDIANA
HENRY | MISSOURI
HENRY | OHIO
FRANKLIN | FLORIDA
FRANKLIN | INDIANA
FRANKLIN | MISSOURI
FRANKLIN | NEW YORK
FRANKLIN | OHIO
FRANKLIN | PENNSYLVANIA
FRANKLIN | VERMONT
FRANKLIN | WASHINGTON
TRUMBULL | OHIO
IMPERIAL | CALIFORNIA
HUNTINGTON | INDIANA
GRAND ISLE | VERMONT
WILLIAMS | NORTH DAKOTA
WILLIAMS | OHIO
ISLAND | WASHINGTON
KLICKITAT | WASHINGTON
STEELE | NORTH DAKOTA
HOLMES | FLORIDA
HOLMES | OHIO
NOBLE | INDIANA
NOBLE | OHIO
ANDREW | MISSOURI
KENOSHA | WISCONSIN
DUNN | NORTH DAKOTA
DUNN | WISCONSIN
ALASKA | z_NA
AUGLAIZE | OHIO
COSHOCTON | OHIO
SLOPE | NORTH DAKOTA
CALAVERAS | CALIFORNIA
PAULDING | OHIO
BENSON | NORTH DAKOTA
DEARBORN | INDIANA
LOS ANGELES | CALIFORNIA
BARRY | MISSOURI
TIPPECANOE | INDIANA
BOTTINEAU | NORTH DAKOTA
TEHAMA | CALIFORNIA
ST. CHARLES | MISSOURI
MARIES | MISSOURI
BENNINGTON | VERMONT
WALLA WALLA | WASHINGTON
SCHUYLER | MISSOURI
SCHUYLER | NEW YORK
TIPTON | INDIANA
WORCESTER | MARYLAND
LIVINGSTON | MISSOURI
LIVINGSTON | NEW YORK
TRAILL | NORTH DAKOTA
ONEIDA | NEW YORK
ONEIDA | WISCONSIN
SARGENT | NORTH DAKOTA
TOOELE | UTAH
STEVENS | WASHINGTON
IOWA | WISCONSIN
TUSCARAWAS | OHIO
MARICOPA | ARIZONA
OTTAWA | OHIO
BEAVER | PENNSYLVANIA
BEAVER | UTAH
OZARK | MISSOURI
SUTTER | CALIFORNIA
LAWRENCE | INDIANA
LAWRENCE | MISSOURI
LAWRENCE | OHIO
LAWRENCE | PENNSYLVANIA
DEFIANCE | OHIO
ST. FRANCOIS | MISSOURI
MERCED | CALIFORNIA
KIDDER | NORTH DAKOTA
PEMISCOT | MISSOURI
PIERCE | NORTH DAKOTA
PIERCE | WASHINGTON
PIERCE | WISCONSIN
COLUMBIA | FLORIDA
COLUMBIA | NEW YORK
COLUMBIA | PENNSYLVANIA
COLUMBIA | WASHINGTON
COLUMBIA | WISCONSIN
MARIPOSA | CALIFORNIA
FOREST | PENNSYLVANIA
FOREST | WISCONSIN
DECATUR | INDIANA
CHENANGO | NEW YORK
HUNTINGDON | PENNSYLVANIA
ELK | PENNSYLVANIA
HARRISON | INDIANA
HARRISON | MISSOURI
HARRISON | OHIO
MORGAN | INDIANA
MORGAN | MISSOURI
MORGAN | OHIO
MORGAN | UTAH
LEWIS | MISSOURI
LEWIS | NEW YORK
LEWIS | WASHINGTON
CARTER | MISSOURI
VENTURA | CALIFORNIA
VERNON | MISSOURI
VERNON | WISCONSIN
BATES | MISSOURI
MARTIN | FLORIDA
MARTIN | INDIANA
WAYNE | INDIANA
WAYNE | MISSOURI
WAYNE | NEW YORK
WAYNE | OHIO
WAYNE | PENNSYLVANIA
WAYNE | UTAH
HENDRICKS | INDIANA
AUDRAIN | MISSOURI
KINGS | CALIFORNIA
KINGS | NEW YORK
MARATHON | WISCONSIN
HILLSBOROUGH | FLORIDA
VAN WERT | OHIO
CHURCHILL | NEVADA
NORTHAMPTON | PENNSYLVANIA
ORANGE | CALIFORNIA
ORANGE | FLORIDA
ORANGE | INDIANA
ORANGE | NEW YORK
ORANGE | VERMONT
SENECA | NEW YORK
SENECA | OHIO
PEPIN | WISCONSIN
RUSH | INDIANA
HARDEE | FLORIDA
TULARE | CALIFORNIA
DAUPHIN | PENNSYLVANIA
TOMPKINS | NEW YORK
BAKER | FLORIDA
LEE | FLORIDA
PHELPS | MISSOURI
DUTCHESS | NEW YORK
ASHTABULA | OHIO
ESMERALDA | NEVADA
LUCAS | OHIO
WASHINGTON | FLORIDA
WASHINGTON | INDIANA
WASHINGTON | MARYLAND
WASHINGTON | MISSOURI
WASHINGTON | NEW YORK
WASHINGTON | OHIO
WASHINGTON | PENNSYLVANIA
WASHINGTON | UTAH
WASHINGTON | VERMONT
WASHINGTON | WISCONSIN
ASHLAND | OHIO
ASHLAND | WISCONSIN
TAYLOR | FLORIDA
TAYLOR | WISCONSIN
GADSDEN | FLORIDA
ALBANY | NEW YORK
CHAMPAIGN | OHIO
NELSON | NORTH DAKOTA
PEMBINA | NORTH DAKOTA
RAY | MISSOURI
SNYDER | PENNSYLVANIA
POSEY | INDIANA
BUTLER | MISSOURI
BUTLER | OHIO
BUTLER | PENNSYLVANIA
YATES | NEW YORK
OKEECHOBEE | FLORIDA
ASOTIN | WASHINGTON
TIOGA | NEW YORK
TIOGA | PENNSYLVANIA
MONITEAU | MISSOURI
ESCAMBIA | FLORIDA
PLUMAS | CALIFORNIA
CACHE | UTAH
BARNES | NORTH DAKOTA
HICKORY | MISSOURI
LANDER | NEVADA
INDIANA | PENNSYLVANIA
VOLUSIA | FLORIDA
MCHENRY | NORTH DAKOTA
SNOHOMISH | WASHINGTON
SUSQUEHANNA | PENNSYLVANIA
GASCONADE | MISSOURI
EDDY | NORTH DAKOTA
LEBANON | PENNSYLVANIA
SCOTT | INDIANA
SCOTT | MISSOURI
NYE | NEVADA
CHESTER | PENNSYLVANIA
FOSTER | NORTH DAKOTA
MENOMINEE | WISCONSIN
BURLEIGH | NORTH DAKOTA
DUVAL | FLORIDA
PARKE | INDIANA
COOPER | MISSOURI
DENT | MISSOURI
NEW LONDON | CONNECTICUT
STARK | NORTH DAKOTA
STARK | OHIO
MARINETTE | WISCONSIN
STE. GENEVIEVE | MISSOURI
WHITLEY | INDIANA
VIGO | INDIANA
ALLEN | INDIANA
ALLEN | OHIO
ST. MARYS | MARYLAND
DODGE | WISCONSIN
TEXAS | MISSOURI
MERCER | MISSOURI
MERCER | NORTH DAKOTA
MERCER | OHIO
MERCER | PENNSYLVANIA
MCLEAN | NORTH DAKOTA
SALT LAKE | UTAH
OREGON | MISSOURI
WOOD | OHIO
WOOD | WISCONSIN
ESSEX | NEW YORK
ESSEX | VERMONT
PICKAWAY | OHIO
KNOX | INDIANA
KNOX | MISSOURI
KNOX | OHIO
OTSEGO | NEW YORK
RICHMOND | NEW YORK
SANDUSKY | OHIO
OKALOOSA | FLORIDA
GEAUGA | OHIO
CHARLOTTE | FLORIDA
REYNOLDS | MISSOURI
NAVAJO | ARIZONA
UTAH | UTAH
ATCHISON | MISSOURI
GLENN | CALIFORNIA
HAMILTON | FLORIDA
HAMILTON | INDIANA
HAMILTON | NEW YORK
HAMILTON | OHIO
OUTAGAMIE | WISCONSIN
MONO | CALIFORNIA
LA PAZ | ARIZONA
ALACHUA | FLORIDA
ARMSTRONG | PENNSYLVANIA
Year: 2008 transformed
2286 Counties

CHOUTEAU | MONTANA
FRIO | TEXAS
MACOMB | MICHIGAN
MOTLEY | TEXAS
RITCHIE | WEST VIRGINIA
CAMERON | TEXAS
DALLAM | TEXAS
LANCASTER | NEBRASKA
LANCASTER | VIRGINIA
COLLIN | TEXAS
LEFLORE | MISSISSIPPI
BUCHANAN | VIRGINIA
RAMSEY | MINNESOTA
FAYETTE | TENNESSEE
FAYETTE | TEXAS
FAYETTE | WEST VIRGINIA
HANSFORD | TEXAS
DESOTO | MISSISSIPPI
HARRISONBURG CITY | VIRGINIA
CARROLL | MISSISSIPPI
CARROLL | TENNESSEE
CARROLL | VIRGINIA
OLDHAM | TEXAS
CASS | MICHIGAN
CASS | MINNESOTA
CASS | NEBRASKA
CASS | TEXAS
WABASHA | MINNESOTA
KEWEENAW | MICHIGAN
STANTON | NEBRASKA
ANDROSCOGGIN | MAINE
ST. LOUIS | MINNESOTA
SOMERSET | MAINE
SOMERSET | NEW JERSEY
LENAWEE | MICHIGAN
LOGAN | NEBRASKA
LOGAN | WEST VIRGINIA
UVALDE | TEXAS
RUSSELL | VIRGINIA
SAGINAW | MICHIGAN
HUMPHREYS | MISSISSIPPI
HUMPHREYS | TENNESSEE
DICKENSON | VIRGINIA
STARR | TEXAS
CORYELL | TEXAS
GOODHUE | MINNESOTA
HUNT | TEXAS
MONONGALIA | WEST VIRGINIA
RED WILLOW | NEBRASKA
COLORADO | TEXAS
JEFFERSON | MISSISSIPPI
JEFFERSON | MONTANA
JEFFERSON | NEBRASKA
JEFFERSON | TENNESSEE
JEFFERSON | TEXAS
JEFFERSON | WEST VIRGINIA
HILL | MONTANA
HILL | TEXAS
RED LAKE | MINNESOTA
MCCONE | MONTANA
YAZOO | MISSISSIPPI
LIVE OAK | TEXAS
UINTA | WYOMING
ARLINGTON | VIRGINIA
WEBSTER | MISSISSIPPI
WEBSTER | NEBRASKA
WEBSTER | WEST VIRGINIA
RANDOLPH | WEST VIRGINIA
KARNES | TEXAS
GILMER | WEST VIRGINIA
KINNEY | TEXAS
LEAKE | MISSISSIPPI
BURLESON | TEXAS
BEE | TEXAS
BUFFALO | NEBRASKA
CATRON | NEW MEXICO
HALE | TEXAS
GARFIELD | MONTANA
GARFIELD | NEBRASKA
ARTHUR | NEBRASKA
NOLAN | TEXAS
WINCHESTER CITY | VIRGINIA
WIRT | WEST VIRGINIA
SOUTHAMPTON | VIRGINIA
BANDERA | TEXAS
ATTALA | MISSISSIPPI
HARRIS | TEXAS
HOPEWELL CITY | VIRGINIA
DAVIDSON | TENNESSEE
MASON | MICHIGAN
MASON | TEXAS
MASON | WEST VIRGINIA
SALINE | NEBRASKA
HAYS | TEXAS
HALL | NEBRASKA
HALL | TEXAS
PARKER | TEXAS
LYNCHBURG CITY | VIRGINIA
MINERAL | MONTANA
MINERAL | WEST VIRGINIA
REEVES | TEXAS
MEIGS | TENNESSEE
HOPKINS | TEXAS
BERNALILLO | NEW MEXICO
BRAXTON | WEST VIRGINIA
DOUGLAS | MINNESOTA
DOUGLAS | NEBRASKA
GREENSVILLE | VIRGINIA
RENVILLE | MINNESOTA
RICHLAND | MONTANA
CONCHO | TEXAS
MIDLAND | MICHIGAN
MIDLAND | TEXAS
SUFFOLK | MASSACHUSETTS
DODDRIDGE | WEST VIRGINIA
DE BACA | NEW MEXICO
MADISON | MISSISSIPPI
MADISON | MONTANA
MADISON | NEBRASKA
MADISON | TENNESSEE
MADISON | TEXAS
MADISON | VIRGINIA
HARDIN | TENNESSEE
HARDIN | TEXAS
BURT | NEBRASKA
BASTROP | TEXAS
STONE | MISSISSIPPI
PETERSBURG CITY | VIRGINIA
TERRELL | TEXAS
KEARNEY | NEBRASKA
MORRILL | NEBRASKA
BRAZOS | TEXAS
ALLEGAN | MICHIGAN
BARAGA | MICHIGAN
CLEARWATER | MINNESOTA
GREENE | MISSISSIPPI
GREENE | TENNESSEE
GREENE | VIRGINIA
GOOCHLAND | VIRGINIA
WATONWAN | MINNESOTA
GIBSON | TENNESSEE
PUTNAM | TENNESSEE
PUTNAM | WEST VIRGINIA
ROBERTS | TEXAS
WYOMING | WEST VIRGINIA
SHERIDAN | MONTANA
SHERIDAN | NEBRASKA
SHERIDAN | WYOMING
LOUDOUN | VIRGINIA
DIXON | NEBRASKA
NOXUBEE | MISSISSIPPI
BOTETOURT | VIRGINIA
FISHER | TEXAS
ARCHER | TEXAS
VAN ZANDT | TEXAS
NESHOBA | MISSISSIPPI
DEUEL | NEBRASKA
STEWART | TENNESSEE
CRAWFORD | MICHIGAN
BRAZORIA | TEXAS
CHARLEVOIX | MICHIGAN
BECKER | MINNESOTA
LYON | MINNESOTA
PECOS | TEXAS
STEPHENS | TEXAS
BEDFORD | TENNESSEE
BEDFORD | VIRGINIA
KEMPER | MISSISSIPPI
BLOUNT | TENNESSEE
COCKE | TENNESSEE
RANKIN | MISSISSIPPI
HUDSPETH | TEXAS
CAPE MAY | NEW JERSEY
CAMPBELL | TENNESSEE
CAMPBELL | VIRGINIA
CAMPBELL | WYOMING
GENESEE | MICHIGAN
EDWARDS | TEXAS
STONEWALL | TEXAS
HAMPSHIRE | MASSACHUSETTS
HAMPSHIRE | WEST VIRGINIA
SUMMERS | WEST VIRGINIA
LUCE | MICHIGAN
PISCATAQUIS | MAINE
RAPPAHANNOCK | VIRGINIA
BLAINE | MONTANA
BLAINE | NEBRASKA
LA SALLE | TEXAS
TUCKER | WEST VIRGINIA
PINE | MINNESOTA
KALAMAZOO | MICHIGAN
HUTCHINSON | TEXAS
BLUE EARTH | MINNESOTA
CLARKE | MISSISSIPPI
CLARKE | VIRGINIA
OKTIBBEHA | MISSISSIPPI
HIDALGO | NEW MEXICO
HIDALGO | TEXAS
WILLIAMSON | TENNESSEE
WILLIAMSON | TEXAS
TERRY | TEXAS
BROADWATER | MONTANA
MEDINA | TEXAS
KEYA PAHA | NEBRASKA
JACK | TEXAS
COOK | MINNESOTA
FREESTONE | TEXAS
GUADALUPE | NEW MEXICO
GUADALUPE | TEXAS
HAYES | NEBRASKA
GREELEY | NEBRASKA
DISTRICT OF COLUMBIA | z_NA
BERKSHIRE | MASSACHUSETTS
BARNSTABLE | MASSACHUSETTS
OVERTON | TENNESSEE
LAPEER | MICHIGAN
OSCODA | MICHIGAN
GREENBRIER | WEST VIRGINIA
HOWARD | NEBRASKA
HOWARD | TEXAS
LAMAR | MISSISSIPPI
LAMAR | TEXAS
MANASSAS PARK CITY | VIRGINIA
SIERRA | NEW MEXICO
HENNEPIN | MINNESOTA
BURNET | TEXAS
JUDITH BASIN | MONTANA
HANCOCK | MAINE
HANCOCK | MISSISSIPPI
HANCOCK | TENNESSEE
HANCOCK | WEST VIRGINIA
POTTER | TEXAS
BLANCO | TEXAS
PLEASANTS | WEST VIRGINIA
FORT BEND | TEXAS
LUBBOCK | TEXAS
SAN JACINTO | TEXAS
ST. JOSEPH | MICHIGAN
TARRANT | TEXAS
LEXINGTON CITY | VIRGINIA
PRINCE EDWARD | VIRGINIA
COLEMAN | TEXAS
KING | TEXAS
IONIA | MICHIGAN
TODD | MINNESOTA
ANDREWS | TEXAS
CRAIG | VIRGINIA
WRIGHT | MINNESOTA
JIM HOGG | TEXAS
SULLIVAN | TENNESSEE
FANNIN | TEXAS
SALEM CITY | VIRGINIA
CLAIBORNE | MISSISSIPPI
CLAIBORNE | TENNESSEE
CLINTON | MICHIGAN
PULASKI | VIRGINIA
WADENA | MINNESOTA
BRADLEY | TENNESSEE
NUCKOLLS | NEBRASKA
NIOBRARA | WYOMING
DENTON | TEXAS
BENTON | MINNESOTA
BENTON | MISSISSIPPI
BENTON | TENNESSEE
KENT | DELAWARE
KENT | MICHIGAN
KENT | RHODE ISLAND
KENT | TEXAS
TATE | MISSISSIPPI
GEORGE | MISSISSIPPI
OGEMAW | MICHIGAN
PIPESTONE | MINNESOTA
IRON | MICHIGAN
SWEET GRASS | MONTANA
LARAMIE | WYOMING
PARK | MONTANA
PARK | WYOMING
MOORE | TENNESSEE
MOORE | TEXAS
